iter	Passed	Remaining
302	2693	2399
303	2701	2390
304	2710	2381
305	2719	2372
306	2727	2363
307	2736	2354
308	2745	2345
309	2754	2336
310	2763	2328
311	2773	2319
312	2781	2310
313	2790	2301
314	2799	2292
315	2807	2283
316	2816	2274
317	2825	2265
318	2833	2256
319	2842	2247
320	2850	2237
321	2859	2229
322	2868	2220
323	2877	2211
324	2886	2202
325	2895	2193
326	2904	2184
327	2912	2175
328	2921	2166
329	2929	2157
330	2938	2148
331	2946	2138
332	2955	2129
333	2963	2120
334	2971	2111
335	2979	2101
336	2988	2093
337	2998	2084
338	3007	2076
339	3016	2067
340	3025	2058
341	3034	2049
342	3043	2040
343	3052	2031
344	3061	2023
345	3070	2014
346	3078	2005
347	3087	1996
348	3096	1987
349	3104	1978
350	3113	1969
351	3122	1960
352	3131	1951
353	3140	1942
354	3149	1934
355	3158	1925
356	3167	1916
357	3176	1907
358	3185	1898
359	3194	1889
360	3202	1880
361	3211	1871
362	3220	1863
363	3229	1854
364	3237	1845
365	3246	1836
366	3255	1827
367	3263	1818
368	3272	1809
369	3281	1800
370	3291	1791
371	3299	1782
372	3307	1773
373	3316	1764
374	3326	1756
375	3335	1747
376	3344	1738
377	3353	1729
378	3361	1720
379	3370	1711
380	3379	1703
381	3388	1694
382	3396	1685
383	3404	1675
384	3412	1666
385	3421	1657
386	3429	1648
387	3439	1639
388	3447	1630
389	3456	1621
390	3464	1612
391	3472	1603
392	3480	1594
393	3489	1585
394	3498	1576
395	3506	1567
396	3514	1557
397	3522	1548
398	3531	1539
399	3538	1530
400	3547	1521
401	3556	1513
402	3565	1504
403	3575	1495
404	3584	1486
405	3593	1478
406	3602	1469
407	3611	1460
408	3620	1451
409	3629	1442
410	3637	1433
411	3646	1425
